"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","thresh"
"ENSG00000155849",2231.41832948154,-0.10052205672881,0.0945632079189315,-1.06301445288306,0.287775397109002,0.723455472045485,FALSE
"ENSG00000155850",1323.31262633461,0.193155143394106,0.10924961865842,1.7680166371841,0.0770581223492289,0.456836143562055,FALSE
"ENSG00000155858",299.249253843124,0.332042818309057,0.118076696445264,2.81209441240574,0.00492200537971112,0.127605762060552,FALSE
"ENSG00000155868",658.006151288716,0.169512099128417,0.0970236608250972,1.74712124534234,0.080616308859347,0.463388764155526,FALSE
"ENSG00000155875",11.8767336214389,-0.136062194599984,0.251637218755411,-0.540707750915953,0.588709035218097,0.888223538259124,FALSE
"ENSG00000155876",1937.87139357757,0.214973114218555,0.0816609926435104,2.63250674844251,0.00847573391832951,0.170668319927696,FALSE
"ENSG00000155886",16.6865597179844,0.193966938167337,0.321752296197368,0.602845544413316,0.546611445217262,0.87138300599175,FALSE
"ENSG00000155890",2.10568402750645,-0.83586897466155,0.628583597488311,-1.32976580680996,0.183595445157111,0.624994440740747,FALSE
"ENSG00000155893",675.741120764752,-0.0814774963089032,0.111239536294031,-0.732450880535317,0.463893412928724,0.831343651797694,FALSE
"ENSG00000155897",0.151945587184728,-0.0322981657865076,1.26880475956337,-0.0254555837240256,0.979691576048972,0.995517709996729,FALSE
"ENSG00000155903",4582.98742650604,-0.018849538563718,0.101489363901933,-0.185729201948017,0.852657126896526,0.967545531624237,FALSE
"ENSG00000155906",453.138256134711,0.0927536799141793,0.0928968029965108,0.998459332531208,0.318056675065342,0.744545268258137,FALSE
"ENSG00000155926",573.024420278412,1.2813636486571,0.35100859078226,3.65051933857644,0.000261710602768864,0.0193093146002188,TRUE
"ENSG00000155957",732.772022217748,-0.0165190127095595,0.104563965478428,-0.157979975548723,0.874472577753003,0.972531061385333,FALSE
"ENSG00000155959",2300.72174425431,0.019550080833934,0.105177195528586,0.185877563436462,0.852540777351053,0.967545531624237,FALSE
"ENSG00000155961",821.789534663153,0.149572483769389,0.179879628577175,0.831514301827775,0.405683152263069,0.798587147523418,FALSE
"ENSG00000155962",2677.66902833493,0.232865990160698,0.207537404566738,1.12204347282283,0.261843956406789,0.70370520265978,FALSE
"ENSG00000155966",1349.70771376369,-0.325655952515267,0.416838368525317,-0.78125234408571,0.434654092950684,0.814577133763023,FALSE
"ENSG00000155970",65.0948068683058,0.771948044213165,0.530939126671444,1.45392947220268,0.145965860760135,0.574846787952461,FALSE
"ENSG00000155974",571.481877447964,0.206627912738813,0.214515380978047,0.963231222846246,0.335431499536578,0.756822369746164,FALSE
"ENSG00000155975",913.931543702337,0.157753754513628,0.0932929928195089,1.69094966026901,0.090846417468661,0.48289885092346,FALSE
"ENSG00000155980",40.7889986961924,0.564668006514148,0.3145020768207,1.79543490530293,0.0725844353243982,0.447121583317317,FALSE
"ENSG00000156009",6.43648404776223,-0.267227549301531,0.260381025396536,-1.02629425049144,0.30475290656438,0.73552649232069,FALSE
"ENSG00000156011",95.1968685004916,-0.867878886939797,0.319848441681534,-2.71340664465055,0.00665953294632966,0.151569715315365,FALSE
"ENSG00000156017",2014.82289679484,-0.065224792383851,0.0995181052661619,-0.655406292246087,0.512206201362401,0.855773228381446,FALSE
"ENSG00000156026",843.672542699581,-0.0937401399130031,0.105484594704602,-0.88866189584851,0.374184815317729,0.780116688593102,FALSE
"ENSG00000156030",2818.8959034451,0.074877073971623,0.146206837813951,0.512131136212003,0.608559234592883,0.896999977951161,FALSE
"ENSG00000156042",247.08517306726,0.331078858197279,0.186125280240612,1.77879575396356,0.0752732535780083,0.453108420333803,FALSE
"ENSG00000156049",6.70546596412354,0.766972286536698,0.395224677007084,1.94059817404304,NA,NA,NA
"ENSG00000156050",97.3691684914379,0.159412116452564,0.115139641571978,1.38451114035221,0.166201999316272,0.603426250623131,FALSE
"ENSG00000156052",306.540214095028,1.0893668829635,0.395857691340748,2.7519154150419,0.00592478218478914,0.143796806930253,FALSE
"ENSG00000156076",3.32209568658749,0.165534183584037,0.42668067870979,0.387958001952619,0.698047113708674,0.930622422325311,FALSE
"ENSG00000156097",13.5561070992651,0.599821766773607,0.224093434570926,2.6766592601077,0.00743602159555331,0.159378743448647,FALSE
"ENSG00000156103",316.272101521884,-0.0869166349936049,0.503984530727241,-0.172458934142653,0.863076743402748,0.969720890376318,FALSE
"ENSG00000156110",852.092322347299,0.116826727513878,0.092033308625198,1.26939614862321,0.204299809132329,0.649950952720369,FALSE
"ENSG00000156113",438.462946731278,0.467006295344446,0.405987391949786,1.1502975328904,0.250021346612456,0.693809835044002,FALSE
"ENSG00000156127",87.8096839738829,0.2882706523537,0.354720894417584,0.812668937438859,0.416407895216331,0.804242398358606,FALSE
"ENSG00000156136",437.899589385029,-0.00506943033418299,0.165319238943594,-0.0306644911177739,0.975537109819837,0.994399002894467,FALSE
"ENSG00000156140",25.7913443655775,0.556210914686729,0.59213166523409,0.939336548513817,0.347557979314234,0.763928338804771,FALSE
"ENSG00000156162",756.616793381824,0.042980782213196,0.0917437502490081,0.468487304002059,0.639436148071114,0.908560633337683,FALSE
"ENSG00000156170",1046.2055701048,0.0127479288296194,0.0932611721331796,0.136690634891603,0.891275332320882,0.976440857834482,FALSE
"ENSG00000156171",1990.34628660738,0.0233532765744185,0.111535896727367,0.209379018411464,0.834152370649142,0.964169524706292,FALSE
"ENSG00000156172",68.6310700580918,0.0269253980182516,0.121002429459525,0.222519482778304,0.82390950835782,0.961719741731144,FALSE
"ENSG00000156194",5.99368719261283,-0.540023800023004,0.254021346072818,-2.12589929299957,0.0335116457808595,0.335880982046941,FALSE
"ENSG00000156206",9.07144146775914,-0.642506132747161,0.23393516049839,-2.7465137407234,0.00602323628642287,0.145113469636879,FALSE
"ENSG00000156218",288.226879850116,0.563903199730782,0.424014823046412,1.32991388291408,0.183546646733941,0.624994440740747,FALSE
"ENSG00000156219",5.66728009542909,0.0434778109961234,0.234622936139131,0.185309295466071,0.852986447570467,0.967622145928247,FALSE
"ENSG00000156222",4.09389064558751,-0.326314895611254,0.332503087767924,-0.981389068600202,0.32640091473414,0.750659971734703,FALSE
"ENSG00000156232",1927.78801857412,0.183563387149124,0.103986449433717,1.76526257169816,0.0775196467979456,0.457792195224691,FALSE
"ENSG00000156234",6.70965781147694,0.243923183606108,0.375737683292481,0.649184775582472,0.51621895100451,0.857612145518236,FALSE
"ENSG00000156239",335.163025913529,0.168414837297907,0.133634709690255,1.26026267942114,0.207574618338044,0.653892663942756,FALSE
"ENSG00000156253",937.262101054548,0.123039303772424,0.0977867443942227,1.25824113006971,0.208304564345737,0.654529599888275,FALSE
"ENSG00000156256",4944.52361242417,0.0449293446881837,0.0793457095097805,0.566247941643845,0.57122524375762,0.881481616907685,FALSE
"ENSG00000156261",8743.07470083591,0.120042768489994,0.0909325910363492,1.32012919814424,0.186791885753092,0.629327982137384,FALSE
"ENSG00000156265",292.868106636645,0.00545932498423191,0.254385102585664,0.0214608675144154,0.982878019467336,0.996022396860286,FALSE
"ENSG00000156269",14.9540616063231,-1.78791536561851,0.5985803659184,-2.98692617970407,0.00281797758542326,0.0926243167892632,FALSE
